
# QPROP Version 1.22
# 
# Aeronaut 9x6 folder, R=19mm yoke                                                
# 
# Scorpion SII-3014, 129g, 38mm dia, 30A max, 5s max                              
#   0.42000E-01  Rmotor (Ohms)                  
#    1.0600      Io     (Amps)                  
#    830.00      Kv     (rpm/Volt)              
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    5.580  0.1393E+05  0.000   19.02      0.3187       464.8      17.991   28.7570   0.8985   0.2284   0.03391  0.2869E-01  0.4261E-02  22.8469   0.2052   517.4       106.1       1.1762  0.5321E-01
    6.080  0.1393E+05  0.000   18.97      0.3206       467.7      17.998   28.9299   0.8983   0.2466   0.03695  0.2862E-01  0.4288E-02  22.4143   0.2216   520.7       115.4       1.1726  0.5198E-01
    6.580  0.1393E+05  0.000   18.93      0.3227       470.7      18.006   29.1065   0.8982   0.2646   0.03999  0.2855E-01  0.4315E-02  21.9901   0.2376   524.1       124.5       1.1689  0.5076E-01
    7.080  0.1393E+05  0.000   18.87      0.3239       472.5      18.010   29.2110   0.8981   0.2827   0.04303  0.2846E-01  0.4331E-02  21.5673   0.2539   526.1       133.6       1.1646  0.4913E-01
    7.580  0.1393E+05  0.000   18.80      0.3258       475.2      18.017   29.3763   0.8979   0.2999   0.04607  0.2837E-01  0.4357E-02  21.1516   0.2693   529.3       142.5       1.1601  0.4797E-01
    8.080  0.1393E+05  0.000   18.74      0.3269       476.9      18.021   29.4759   0.8978   0.3175   0.04910  0.2826E-01  0.4372E-02  20.7396   0.2850   531.2       151.4       1.1552  0.4638E-01
    8.580  0.1393E+05  0.000   18.66      0.3287       479.5      18.028   29.6284   0.8977   0.3340   0.05214  0.2815E-01  0.4395E-02  20.3321   0.2998   534.1       160.1       1.1500  0.4528E-01
    9.080  0.1393E+05  0.000   18.59      0.3297       481.0      18.031   29.7180   0.8976   0.3509   0.05518  0.2803E-01  0.4409E-02  19.9288   0.3149   535.9       168.8       1.1443  0.4375E-01
    9.580  0.1393E+05  0.000   18.50      0.3313       483.3      18.037   29.8559   0.8974   0.3667   0.05822  0.2790E-01  0.4430E-02  19.5290   0.3291   538.5       177.2       1.1383  0.4271E-01
   10.080  0.1393E+05  0.000   18.41      0.3321       484.5      18.040   29.9291   0.8974   0.3829   0.06126  0.2776E-01  0.4442E-02  19.1320   0.3436   539.9       185.5       1.1317  0.4125E-01
   10.580  0.1393E+05  0.000   18.31      0.3329       485.6      18.043   29.9965   0.8973   0.3988   0.06430  0.2761E-01  0.4452E-02  18.7386   0.3578   541.2       193.7       1.1247  0.3984E-01
   11.080  0.1393E+05  0.000   18.19      0.3335       486.6      18.045   30.0512   0.8973   0.4143   0.06734  0.2745E-01  0.4460E-02  18.3460   0.3718   542.3       201.6       1.1171  0.3847E-01
   11.580  0.1393E+05  0.000   18.07      0.3340       487.2      18.047   30.0896   0.8972   0.4295   0.07037  0.2726E-01  0.4466E-02  17.9531   0.3854   543.0       209.3       1.1086  0.3717E-01
