
# QPROP Version 1.22
# 
# Aeronaut 9x6 folder, R=19mm yoke                                                
# 
# Scorpion SII-3014, 129g, 38mm dia, 30A max, 5s max                              
#   0.42000E-01  Rmotor (Ohms)                  
#    1.0600      Io     (Amps)                  
#    830.00      Kv     (rpm/Volt)              
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
   10.580  0.1390E+05  0.000   18.22      0.3314       482.4      18.000   29.8683   0.8973   0.3995   0.06444  0.2760E-01  0.4452E-02  18.6756   0.3585   537.6       192.7       1.1242  0.3981E-01
   11.580  0.1390E+05  0.000   17.97      0.3324       483.6      18.000   29.9473   0.8972   0.4303   0.07055  0.2724E-01  0.4466E-02  17.8844   0.3861   539.1       208.1       1.1079  0.3714E-01
   12.580  0.1389E+05  0.000   17.69      0.3330       484.6      18.000   30.0063   0.8971   0.4592   0.07665  0.2682E-01  0.4477E-02  17.0949   0.4119   540.1       222.5       1.0888  0.3510E-01
   13.580  0.1389E+05  0.000   17.37      0.3332       484.8      18.000   30.0200   0.8971   0.4866   0.08275  0.2634E-01  0.4479E-02  16.3182   0.4366   540.4       235.9       1.0677  0.3322E-01
   14.580  0.1389E+05  0.000   17.03      0.3329       484.3      18.000   29.9914   0.8971   0.5127   0.08883  0.2582E-01  0.4474E-02  15.5569   0.4600   539.8       248.3       1.0449  0.3150E-01
   15.580  0.1390E+05  0.000   16.67      0.3321       483.2      18.000   29.9211   0.8972   0.5375   0.09491  0.2527E-01  0.4462E-02  14.8122   0.4823   538.6       259.8       1.0206  0.2992E-01
   16.580  0.1390E+05  0.000   16.29      0.3307       481.5      18.000   29.8072   0.8974   0.5610   0.10097  0.2468E-01  0.4441E-02  14.0844   0.5035   536.5       270.1       0.9948  0.2847E-01
   17.580  0.1391E+05  0.000   15.89      0.3289       479.0      18.000   29.6458   0.8975   0.5833   0.10702  0.2405E-01  0.4413E-02  13.3731   0.5235   533.6       279.4       0.9676  0.2714E-01
   18.580  0.1391E+05  0.000   15.47      0.3264       475.6      18.000   29.4327   0.8978   0.6043   0.11304  0.2339E-01  0.4375E-02  12.6775   0.5425   529.8       287.4       0.9389  0.2594E-01
   19.580  0.1392E+05  0.000   15.03      0.3234       471.5      18.000   29.1675   0.8981   0.6241   0.11905  0.2269E-01  0.4329E-02  11.9982   0.5605   525.0       294.3       0.9090  0.2484E-01
   20.580  0.1393E+05  0.000   14.57      0.3198       466.6      18.000   28.8544   0.8984   0.6427   0.12503  0.2197E-01  0.4274E-02  11.3367   0.5774   519.4       299.9       0.8779  0.2386E-01
   21.580  0.1395E+05  0.000   14.10      0.3157       461.1      18.000   28.4991   0.8988   0.6600   0.13099  0.2122E-01  0.4212E-02  10.6948   0.5932   513.0       304.3       0.8460  0.2296E-01
   22.580  0.1396E+05  0.000   13.62      0.3113       455.1      18.000   28.1187   0.8992   0.6755   0.13693  0.2045E-01  0.4145E-02  10.0686   0.6074   506.1       307.4       0.8134  0.2258E-01
   23.580  0.1398E+05  0.000   13.12      0.3062       448.1      18.000   27.6719   0.8996   0.6904   0.14284  0.1966E-01  0.4068E-02   9.4636   0.6211   498.1       309.4       0.7801  0.2189E-01
   24.580  0.1399E+05  0.000   12.61      0.3008       440.7      18.000   27.2043   0.9000   0.7034   0.14872  0.1886E-01  0.3987E-02   8.8758   0.6331   489.7       310.0       0.7463  0.2171E-01
   25.580  0.1401E+05  0.000   12.10      0.2950       432.8      18.000   26.7019   0.9005   0.7151   0.15458  0.1804E-01  0.3901E-02   8.3092   0.6439   480.6       309.5       0.7125  0.2159E-01
   26.580  0.1403E+05  0.000   11.58      0.2888       424.3      18.000   26.1640   0.9009   0.7255   0.16041  0.1722E-01  0.3809E-02   7.7632   0.6536   471.0       307.8       0.6785  0.2154E-01
   27.580  0.1405E+05  0.000   11.06      0.2822       415.2      18.000   25.5904   0.9013   0.7344   0.16620  0.1640E-01  0.3711E-02   7.2370   0.6620   460.6       304.9       0.6445  0.2156E-01
   28.580  0.1407E+05  0.000   10.53      0.2752       405.5      18.000   24.9807   0.9018   0.7420   0.17197  0.1557E-01  0.3608E-02   6.7296   0.6691   449.7       300.9       0.6104  0.2167E-01
   29.580  0.1409E+05  0.000   9.993      0.2678       395.1      18.000   24.3341   0.9021   0.7480   0.17770  0.1473E-01  0.3499E-02   6.2404   0.6748   438.0       295.6       0.5764  0.2185E-01
   30.580  0.1412E+05  0.000   9.453      0.2599       384.2      18.000   23.6500   0.9025   0.7524   0.18340  0.1389E-01  0.3385E-02   5.7686   0.6791   425.7       289.1       0.5423  0.2212E-01

