
# QPROP Version 1.22
# 
# CAM 9x6 folder, R=19mm yoke                                                     
# 
# Scorpion SII-3014, 129g, 38mm dia, 30A max, 5s max                              
#   0.42000E-01  Rmotor (Ohms)                  
#    1.0600      Io     (Amps)                  
#    830.00      Kv     (rpm/Volt)              
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   7.000   8254.      0.000   5.529      0.9610E-01   83.07      10.340    9.4128   0.8535   0.4659   0.07085  0.2253E-01  0.3426E-02   9.3989   0.3976   97.33       38.70       0.9321  0.2667E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0368  0.0204  31.598   1.3979  0.12640    45065  0.094   0.5548   0.7853   11.85       9.234      0.1277    
   0.0399  0.0218  27.322   1.3628  0.04216    52044  0.102   0.5360   0.9136   12.30       9.263      0.1322    
   0.0431  0.0219  25.609   1.2826  0.03864    56409  0.110   0.5347   0.9113   12.42       8.722      0.1325    
   0.0463  0.0213  25.192   1.3189  0.04214    58903  0.118   0.5237   0.9030   12.73       8.555      0.1353    
   0.0494  0.0207  24.803   1.3588  0.04500    60879  0.126   0.5139   0.8964   13.01       8.380      0.1379    
   0.0526  0.0202  23.759   1.3370  0.04133    63317  0.134   0.5109   0.8985   13.14       8.021      0.1387    
   0.0558  0.0199  22.291   1.2731  0.03487    66117  0.142   0.5127   0.9048   13.16       7.555      0.1382    
   0.0589  0.0197  20.713   1.1952  0.02946    69016  0.150   0.5167   0.9092   13.11       7.070      0.1371    
   0.0621  0.0194  19.327   1.1306  0.02648    71686  0.158   0.5200   0.9092   13.08       6.649      0.1362    
   0.0652  0.0190  18.221   1.0870  0.02516    73930  0.166   0.5214   0.9063   13.08       6.314      0.1359    
   0.0684  0.0186  17.279   1.0540  0.02437    75722  0.174   0.5222   0.9027   13.09       6.021      0.1357    
   0.0716  0.0181  16.403   1.0231  0.02362    77079  0.182   0.5236   0.8990   13.09       5.739      0.1353    
   0.0747  0.0175  15.555   0.9913  0.02289    78108  0.190   0.5257   0.8950   13.06       5.462      0.1348    
   0.0779  0.0170  14.703   0.9561  0.02220    78945  0.198   0.5286   0.8903   13.01       5.190      0.1340    
   0.0811  0.0165  13.841   0.9174  0.02160    79600  0.206   0.5324   0.8846   12.94       4.922      0.1331    
   0.0842  0.0159  13.000   0.8784  0.02113    79854  0.214   0.5369   0.8778   12.85       4.661      0.1320    
   0.0874  0.0153  12.212   0.8423  0.02084    79436  0.222   0.5417   0.8699   12.75       4.412      0.1308    
   0.0906  0.0145  11.493   0.8104  0.02073    78241  0.231   0.5467   0.8611   12.65       4.179      0.1296    
   0.0937  0.0137  10.834   0.7813  0.02076    76434  0.239   0.5514   0.8514   12.56       3.968      0.1285    
   0.0969  0.0129  10.225   0.7531  0.02090    74236  0.247   0.5551   0.8409   12.49       3.786      0.1276    
   0.1001  0.0120   9.653   0.7238  0.02111    71802  0.255   0.5570   0.8293   12.45       3.640      0.1272    
   0.1032  0.0110   9.082   0.6930  0.02157    67908  0.263   0.5593   0.8149   12.41       3.500      0.1267    
   0.1064  0.0095   8.460   0.6623  0.02272    60097  0.271   0.5666   0.7929   12.26       3.298      0.1250    
   0.1096  0.0071   7.784   0.6348  0.02530    46621  0.279   0.5824   0.7572   11.94       3.006      0.1216    
   0.1127  0.0043   7.212   0.6002  0.03096    28991  0.287   0.5867   0.6992   11.86       2.873      0.1208    
